Country, Score
KIRIBATI,191
CAYMAN,191
BOTSWANA,191
MONTENEGRO,191
BRITISH,191
MOZAMBIQUE,191
SIERRA,191
SEYCHELLES,191
SAO,191
NAMIBIA,191
CENTRAL,191
MAURITANIA,191
NETHERLANDS,191
ERITREA,191
RWANDA,191
EQUATORIAL,191
NORTH,191
NORWAY,191
OMAN,191
QATAR,191
PALESTINIAN,191
SOUTH,191
BHUTAN,191
ST,191
YEMEN,191
ANGOLA,191
ANTIGUA,191
VANUATU,191
LAOS,191
LATVIA,191
LIBERIA,191
LUXEMBOURG,191
MADAGASCAR,191
BAHRAIN,191
GUINEA-BISSAU,191
MALDIVES,191
MALI,191
MALTA,191
SUDAN,191
PAPUA,191
SERBIA,191
AZERBAIJAN,190
SWITZERLAND,189
CYPRUS,188
BURMA,187
CROATIA,186
MALAYSIA,185
SYRIA,184
HONG,183
GHANA,182
RUSSIA,181
IRAN,180
SWEDEN,179
SPAIN,178
CHINA,177
IRAQ,176
FINLAND,175
UKRAINE,174
BELARUS,173
FRANCE,172
BULGARIA,171
INDIA,170
TAIWAN,169
ISRAEL,168
CANADA,167
AUSTRIA,166
SINGAPORE,165
ROMANIA,164
TURKEY,163
ZIMBABWE,162
KAZAKHSTAN,161
COSTA,160
AUSTRALIA,159
GERMANY,158
BELGIUM,157
EGYPT,156
NEPAL,155
LEBANON,154
CHILE,153
ESTONIA,152
LIBYA,151
NIGERIA,150
IRELAND,149
ICELAND,148
KYRGYZSTAN,147
BANGLADESH,146
LITHUANIA,145
PALESTINE,144
INDONESIA,143
NETHERLANDS,142
CZECH,141
GEORGIA,140
UNITED,139
TUNISIA,138
TOGO,137
BURKINA,136
PAKISTAN,135
JORDAN,134
MOROCCO,133
ALBANIA,132
CAMEROON,131
SRI,130
NEW,129
GREECE,128
ETHIOPIA,127
MACEDONIA,126
MACAU,125
HUNGARY,124
ARMENIA,123
ZAMBIA,122
URUGUAY,121
SERBIA,120
BRAZIL,119
PANAMA,118
KENYA,117
MAURITIUS,116
HAITI,115
JAPAN,114
UZBEKISTAN,113
BOSNIA,112
PORTUGAL,111
VENEZUELA,110
ITALY,109
NICARAGUA,108
ARGENTINA,107
TURKMENISTAN,106
TRINIDAD,105
TANZANIA,104
SAUDI,103
SOUTH,102
VIETNAM,101
COLOMBIA,100
UNITED,99
BAHAMAS,98
IVORY,97
SOUTH,96
DENMARK,95
BENIN,94
SLOVENIA,93
BARBADOS,92
THAILAND,91
PARAGUAY,90
SLOVAKIA,89
ALGERIA,88
AFGHANISTAN,87
DOMINICAN,86
PERU,85
POLAND,84
ST,83
GABON,82
FIJI,81
MALAWI,80
BURUNDI,79
YUGOSLAVIA,78
PHILIPPINES,77
JAMAICA,76
UNITED,75
DOMINICA,74
GUYANA,73
DEMOCRATIC,72
SENEGAL,71
KOSOVO,70
GRENADA,69
MOLDOVA,68
NIGER,67
TAJIKISTAN,66
SAINT,65
ST,64
COTE,63
BOLIVIA,62
MEXICO,61
HONDURAS,60
CAMBODIA,59
MONGOLIA,58
SURINAME,57
BERMUDA,56
KUWAIT,55
BELIZE,54
UGANDA,53
ECUADOR,52
EL,51
GUINEA,50
LESOTHO,49
GUATEMALA,48
REPUBLIC,47
TURKS,46
GAMBIA,45
MARSHALL,44
ARUBA,40
MONACO,40
SAMOA,40
